title,link,date_posted,posted_until,main_agency,department,job_location,work_location,job_type,salary,category,experience_level,title_classification,job_id,num_positions
Senior Legislative Representative,https://cityjobs.nyc.gov/job/senior-legislative-representative-in-manhattan-jid-33026,2025-05-13,,OFFICE OF THE MAYOR,City Legislative Affairs,MANHATTAN,253 Broadway New York Ny,Full-Time,"$101,339.00 – $101,339.00",Communications & Intergovernmental Affairs,Manager,No Exam Required,714248,1
Assistant Corporation Counsel - Family Court JD-MCU,https://cityjobs.nyc.gov/job/assistant-corporation-counsel-family-court-jd-mcu-in-manhattan-jid-34204,2025-06-25,,LAW DEPARTMENT,Family Court: New York,MANHATTAN,"100 Church St., N.Y.",Full-Time,"$87,550.00 – $175,100.00",Legal Affairs,Experienced (Non-Manager),No Exam Required,717331,1
Analyst -Accounting Services,https://cityjobs.nyc.gov/job/analyst-accounting-services-in-manhattan-jid-24213,2024-06-21,2025-10-27,OFFICE OF MANAGEMENT & BUDGET,Office Of Budget Review,MANHATTAN,255 Greenwich Street,Full-Time,"$74,893.00 – $84,257.00","Finance, Accounting, & Procurement",Entry-Level,No Exam Required,638712,1
SENIOR CONSTRUCTION PROJECT MANAGER,https://cityjobs.nyc.gov/job/senior-construction-project-manager-in-manhattan-jid-15071,2023-09-20,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,General Support Services-NM,MANHATTAN,375 Pearl Street,Full-Time,"$74,041.00 – $85,147.00",Building Operations & Maintenance,Experienced (Non-Manager),Exam May Be Required,605855,1
ASSISTANT DEPUTY COMMISSIONER,https://cityjobs.nyc.gov/job/assistant-deputy-commissioner-in-manhattan-jid-16547,2023-10-21,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Communications/Marketing-Mgr,MANHATTAN,4 World Trade Center,Full-Time,"$88,437.00 – $168,994.00",Social Services,Manager,No Exam Required,607744,1
Assistant Corporation Counsel Family Court JD,https://cityjobs.nyc.gov/job/assistant-corporation-counsel-family-court-jd-in-manhattan-jid-34218,2025-06-25,,LAW DEPARTMENT,Family Court: New York,MANHATTAN,"100 Church St., N.Y.",Full-Time,"$87,550.00 – $175,100.00",Legal Affairs,Experienced (Non-Manager),No Exam Required,717333,1
UH/DAD (Procurement Lead Specialist) - Management & Operations,https://cityjobs.nyc.gov/job/uh-dad-procurement-lead-specialist-management-and-operations-in-manhattan-jid-24476,2024-06-29,2025-10-27,OFFICE OF MANAGEMENT & BUDGET,Budget Directors Office (MGRL),MANHATTAN,255 Greenwich Street,Full-Time,"$117,935.00 – $141,217.00","Finance, Accounting, & Procurement",Manager,No Exam Required,639675,1
Value Engineering Project Manager - Value Engineering,https://cityjobs.nyc.gov/job/value-engineering-project-manager-value-engineering-in-manhattan-jid-24235,2024-06-21,2025-10-27,OFFICE OF MANAGEMENT & BUDGET,IFA,MANHATTAN,255 Greenwich Street,Full-Time,"$95,208.00 – $103,776.00","Finance, Accounting, & Procurement",Entry-Level,No Exam Required,638719,1
Operations Assistant,https://cityjobs.nyc.gov/job/operations-assistant-in-nyc-all-boros-jid-32258,2025-04-18,,DEPARTMENT OF SANITATION,Office Of The Commissioner,NYC-ALL BOROS,"125 Worth Street, Nyc",Full-Time,"$51,816.00 – $98,017.00",Administration & Human Resources,Experienced (Non-Manager),No Exam Required,711349,1
FAIR HEARING SERVICE SPECIALIST,https://cityjobs.nyc.gov/job/fair-hearing-service-specialist-in-queens-jid-23015,2024-05-04,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Fair Hearing NM,QUEENS,88-11 165 Street Jamaica,Full-Time,"$56,677.00 – $65,179.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,634576,1
SENIOR CRPU SPECIALIST,https://cityjobs.nyc.gov/job/senior-crpu-specialist-in-manhattan-jid-22935,2024-05-01,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Housing-Homles SV/INIT NM,MANHATTAN,4 World Trade Center,Full-Time,"$66,430.00 – $99,694.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,634802,1
CRPU Associate,https://cityjobs.nyc.gov/job/crpu-associate-in-nyc-all-boros-jid-22642,2024-04-20,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Housing-Homles SV/INIT NM,NYC-ALL BOROS,"109 E 16Th St., N.Y.",Full-Time,"$53,266.00 – $53,266.00",Social Services,Experienced (Non-Manager),Exam May Be Required,634029,3
RENTAL ASSISTANCE UNIT (RAU) SUPERVISOR,https://cityjobs.nyc.gov/job/rental-assistance-unit-rau-supervisor-in-manhattan-jid-22640,2024-04-20,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Housing-Homles SV/INIT NM,MANHATTAN,"109 E 16Th St., N.Y.",Full-Time,"$73,213.00 – $107,616.00",Social Services,Experienced (Non-Manager),Exam May Be Required,634027,2
FRONT DOOR RECEPTIONIST,https://cityjobs.nyc.gov/job/front-door-receptionist-in-queens-jid-19835,2024-01-24,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,FIA Operations-NM,QUEENS,88-11 165 Street Jamaica,Full-Time,"$39,763.00 – $45,728.00",Social Services,Experienced (Non-Manager),Exam May Be Required,624243,1
"ASSISTANT DEPUTY COMMISSIONER, ADMINISTRATION PROGRAM FACILITATION",https://cityjobs.nyc.gov/job/assistant-deputy-commissioner-administration-program-facilitation-in-manhattan-jid-20017,2024-01-30,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Customized Assist Svc-Mgr,MANHATTAN,4 World Trade Center,Full-Time,"$80,931.00 – $146,088.00",Administration & Human Resources,Manager,Exam May Be Required,625159,1
OUTREACH COORDINATOR,https://cityjobs.nyc.gov/job/outreach-coordinator-in-nyc-all-boros-jid-19949,2024-01-27,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Mayor'S Action Plan NM,NYC-ALL BOROS,4 World Trade Center,Full-Time,"$62,868.00 – $72,298.00",Social Services,Entry-Level,No Exam Required,624698,2
Investigative Attorney,https://cityjobs.nyc.gov/job/investigative-attorney-in-manhattan-jid-35221,2025-07-31,2026-04-14,DEPARTMENT OF INVESTIGATION,Squad 2,MANHATTAN,180 Maiden Lane,Full-Time,"$75,000.00 – $90,000.00",Legal Affairs,Experienced (Non-Manager),No Exam Required,722259,1
