title,link,date_posted,posted_until,main_agency,department,job_location,work_location,job_type,salary,category,experience_level,title_classification,job_id,num_positions
EXECUTIVE ASSISTANT/TECHNICAL BUSINESS ANALYST,https://cityjobs.nyc.gov/job/executive-assistant-technical-business-analyst-in-manhattan-jid-27334,2024-10-26,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Fiscal Operations-NM,MANHATTAN,4 World Trade Center,Full-Time,"$45,040.00 – $51,796.00","Finance, Accounting, & Procurement",Experienced (Non-Manager),Exam May Be Required,685912,1
DEPUTY DIRECTOR OF ONBOARDING,https://cityjobs.nyc.gov/job/deputy-director-of-onboarding-in-manhattan-jid-27171,2024-10-22,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Office Of HR Solutions-NM,MANHATTAN,4 World Trade Center,Full-Time,"$76,301.00 – $85,666.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,685126,1
FAIR HEARING GROUP CLERK,https://cityjobs.nyc.gov/job/fair-hearing-group-clerk-in-brooklyn-jid-27485,2024-11-01,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Fair Hearing NM,BROOKLYN,470 Vanderbilt Ave,Full-Time,"$40,957.00 – $47,100.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,686579,1
"Mass Prophylaxis Plan Manager, Bureau of Emergency Field Operations",https://cityjobs.nyc.gov/job/mass-prophylaxis-plan-manager-bureau-of-emergency-field-operations-in-queens-jid-27201,2024-10-23,2025-12-16,DEPT OF HEALTH/MENTAL HYGIENE,EPR-EMR. Field Ops,QUEENS,42-09 28th Street,Full-Time,"$71,979.00 – $88,478.00",Health,Experienced (Non-Manager),No Exam Required,685271,1
Director for Data Operations and Program Analytics,https://cityjobs.nyc.gov/job/director-for-data-operations-and-program-analytics-in-manhattan-jid-36957,2025-10-02,,DEPT OF YOUTH & COMM DEV SRVS,Event Plan & Initi Coor (EPIC),MANHATTAN,"2 Lafayette St., N.Y.",Full-Time,"$62,868.00 – $97,593.00",Constituent Services & Community Programs,Experienced (Non-Manager),No Exam Required,732757,1
Junior Engineer (Capital / Scope),https://cityjobs.nyc.gov/job/junior-engineer-capital-scope-in-queens-jid-31727,2025-03-29,,DEPT OF DESIGN & CONSTRUCTION,INFRA/PGRM MGMT/E&SS/EXEC,QUEENS,30-30 Thomson Ave L I City Qns,Full-Time,"$57,866.00 – $66,546.00","Engineering, Architecture, & Planning",Entry-Level,Exam May Be Required,709067,1
"Deputy Director, M/WBE Officer",https://cityjobs.nyc.gov/job/deputy-director-m-wbe-officer-in-queens-jid-33182,2025-05-16,,DEPT OF DESIGN & CONSTRUCTION,ODIR/MWBE,QUEENS,30-30 Thomson Ave L I City Qns,Full-Time,"$73,419.00 – $124,511.00","Engineering, Architecture, & Planning",Experienced (Non-Manager),Exam May Be Required,714430,1
"Chief of Capital Distribution and Drainage for Manhattan, Bronx and Staten Island",https://cityjobs.nyc.gov/job/chief-of-capital-distribution-and-drainage-for-manhattan-bronx-and-staten-island-in-nyc-all-boros-jid-31108,2025-03-14,,DEPT OF ENVIRONMENT PROTECTION,Program Management,NYC-ALL BOROS,96-05 Horace Harding Expway,Full-Time,"$120,000.00 – $171,486.00","Engineering, Architecture, & Planning",Manager,Exam May Be Required,706093,1
CAMA ANALYST,https://cityjobs.nyc.gov/job/cama-analyst-in-manhattan-jid-27060,2024-10-17,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Fiscal Operations-NM,MANHATTAN,4 World Trade Center,Full-Time,"$63,043.00 – $72,499.00","Finance, Accounting, & Procurement",Experienced (Non-Manager),Exam May Be Required,684404,1
SYSTEM PROGRAMER,https://cityjobs.nyc.gov/job/system-programer-in-manhattan-jid-27495,2024-11-01,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Off Of Child Enforc-NM,MANHATTAN,2 Washington Street,Full-Time,"$96,086.00 – $123,796.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,682865,1
COMMUNITY ASSISTANT,https://cityjobs.nyc.gov/job/community-assistant-in-bronx-jid-26705,2024-10-03,2025-10-27,DEPT. OF HOMELESS SERVICES,Family Services,BRONX,151 East 151st Street,Full-Time,"$38,712.00 – $42,092.00",Social Services,Entry-Level,No Exam Required,682717,1
COMMUNITY ASSOCIATE,https://cityjobs.nyc.gov/job/community-associate-in-manhattan-jid-26848,2024-10-10,2025-10-27,DEPT. OF HOMELESS SERVICES,Family Services,MANHATTAN,"430 East 30 Street, New York N",Full-Time,"$43,143.00 – $49,615.00",Constituent Services & Community Programs,Experienced (Non-Manager),No Exam Required,682995,1
"DIRECTOR, BRONX BOROUGH OFFICE",https://cityjobs.nyc.gov/job/director-bronx-borough-office-in-brooklyn-jid-26891,2024-10-10,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Adult Protective Services-Mgr,BROOKLYN,2500 Halsey Street,Full-Time,"$66,067.00 – $125,738.00",Administration & Human Resources,Manager,Exam May Be Required,683404,1
FAMILY WORKER,https://cityjobs.nyc.gov/job/family-worker-in-bronx-jid-26925,2024-10-11,2025-10-27,DEPT. OF HOMELESS SERVICES,Family Services,BRONX,151 East 151st Street,Full-Time,"$57,490.00 – $90,578.00",Green Jobs,Experienced (Non-Manager),Exam May Be Required,683643,1
CRPU ASSOCIATE,https://cityjobs.nyc.gov/job/crpu-associate-in-manhattan-jid-26972,2024-10-12,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Housing-Homles SV/INIT NM,MANHATTAN,"109 E 16Th St., N.Y.",Full-Time,"$47,708.00 – $54,864.00",Social Services,Experienced (Non-Manager),Exam May Be Required,684380,4
INTAKE WORKER,https://cityjobs.nyc.gov/job/intake-worker-in-manhattan-jid-26699,2024-10-03,2025-10-27,DEPT. OF HOMELESS SERVICES,Family Services,MANHATTAN,"430 East 30 Street, New York N",Full-Time,"$43,143.00 – $49,615.00",Social Services,Entry-Level,No Exam Required,682437,1
RESOURCE SPECIALIST,https://cityjobs.nyc.gov/job/resource-specialist-in-manhattan-jid-26563,2024-09-27,2025-10-27,DEPT. OF HOMELESS SERVICES,Family Services,MANHATTAN,"430 East 30 Street, New York N",Full-Time,"$60,889.00 – $70,022.00",Social Services,Experienced (Non-Manager),No Exam Required,682003,1
COMMUNITY ASSISTANT,https://cityjobs.nyc.gov/job/community-assistant-in-queens-jid-26204,2024-09-13,2025-10-27,DEPT. OF HOMELESS SERVICES,Adult Services,QUEENS,"175-10 88Th Ave Queens, N.Y",Full-Time,"$38,712.00 – $42,092.00",Constituent Services & Community Programs,Entry-Level,No Exam Required,679616,1
COMMUNITY ASSISTANT,https://cityjobs.nyc.gov/job/community-assistant-in-bronx-jid-26218,,,,,,,,,,,,,
RESOURCE SPECIALIST,https://cityjobs.nyc.gov/job/resource-specialist-in-manhattan-jid-26528,2024-09-27,2025-10-27,DEPT. OF HOMELESS SERVICES,Family Services,MANHATTAN,"430 East 30 Street, New York N",Full-Time,"$60,889.00 – $70,022.00",Social Services,Experienced (Non-Manager),No Exam Required,679666,1
COMMUNITY ASSOCIATE,https://cityjobs.nyc.gov/job/community-associate-in-bronx-jid-26242,2024-09-14,2025-10-27,DEPT. OF HOMELESS SERVICES,Family Services,BRONX,151 East 151st Street,Full-Time,"$43,143.00 – $49,615.00",Social Services,Entry-Level,No Exam Required,679957,1
REHOUSING SUPPORT ANALYST,https://cityjobs.nyc.gov/job/rehousing-support-analyst-in-manhattan-jid-26556,2024-09-27,2025-10-27,DEPT. OF HOMELESS SERVICES,Rehousing Division,MANHATTAN,"33 Beaver St, New York Ny",Full-Time,"$70,310.00 – $80,856.00","Policy, Research & Analysis",Experienced (Non-Manager),Exam May Be Required,681700,1
EXECUTIVE ASSISTANT,https://cityjobs.nyc.gov/job/executive-assistant-in-manhattan-jid-22218,2024-04-06,2025-10-27,DEPT. OF HOMELESS SERVICES,Family Services,MANHATTAN,"33 Beaver St, New York Ny",Full-Time,"$66,349.00 – $76,301.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,632418,1
DIRECTOR OF PACKET REVIEW AND PROCESSING,https://cityjobs.nyc.gov/job/director-of-packet-review-and-processing-in-manhattan-jid-20004,2024-01-30,2025-10-27,DEPT. OF HOMELESS SERVICES,Rehousing Division,MANHATTAN,"33 Beaver St, New York Ny",Full-Time,"$69,826.00 – $100,000.00",Social Services,Experienced (Non-Manager),Exam May Be Required,624974,1
RESOURCE SPECIALIST,https://cityjobs.nyc.gov/job/resource-specialist-in-manhattan-jid-22621,2024-04-20,2025-10-27,DEPT. OF HOMELESS SERVICES,Adult Services,MANHATTAN,"430 East 30 Street, New York N",Full-Time,"$59,116.00 – $67,983.00",Constituent Services & Community Programs,Experienced (Non-Manager),No Exam Required,633772,1
DIRECTOR,https://cityjobs.nyc.gov/job/director-in-manhattan-jid-19927,2024-01-27,2025-10-27,DEPT. OF HOMELESS SERVICES,Adult Services,MANHATTAN,"430 East 30 Street, New York N",Full-Time,"$70,011.00 – $108,343.00",Social Services,Manager,Exam May Be Required,624560,1
COMMUNITY ASSOCIATE,https://cityjobs.nyc.gov/job/community-associate-in-bronx-jid-22628,2024-04-20,2025-10-27,DEPT. OF HOMELESS SERVICES,Family Services,BRONX,151 East 151st Street,Full-Time,"$41,887.00 – $69,709.00",Administration & Human Resources,Entry-Level,No Exam Required,633916,3
SOCIAL WORKER,https://cityjobs.nyc.gov/job/social-worker-in-bronx-jid-22627,2024-04-20,2025-10-27,DEPT. OF HOMELESS SERVICES,Family Services,BRONX,151 East 151st Street,Full-Time,"$55,816.00 – $79,357.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,633933,1
INTAKE WORKER,https://cityjobs.nyc.gov/job/intake-worker-in-manhattan-jid-22636,2024-04-20,2025-10-27,DEPT. OF HOMELESS SERVICES,Adult Services,MANHATTAN,"430 East 30 Street, New York N",Full-Time,"$41,887.00 – $48,170.00",Constituent Services & Community Programs,Experienced (Non-Manager),No Exam Required,633787,2
EEO Investigator,https://cityjobs.nyc.gov/job/eeo-investigator-in-brooklyn-jid-36829,2025-09-26,,TECHNOLOGY & INNOVATION,"Diversity, Inclusion & EEO",BROOKLYN,2 Metro Tech,Full-Time,"$69,995.00 – $69,995.00",Administration & Human Resources,Experienced (Non-Manager),No Exam Required,733810,1
ENERGY ANALYST,https://cityjobs.nyc.gov/job/energy-analyst-in-brooklyn-jid-25951,2024-08-31,2025-10-27,DEPT. OF HOMELESS SERVICES,"Facilities, Maint And Repair",BROOKLYN,"101-07 Farragut Road, Brooklyn",Full-Time,"$76,262.00 – $87,701.00",Building Operations & Maintenance,Manager,Exam May Be Required,650452,1
SOCIAL WORKER,https://cityjobs.nyc.gov/job/social-worker-in-manhattan-jid-27050,2024-10-17,2025-10-27,DEPT. OF HOMELESS SERVICES,Adult Services,MANHATTAN,"33 Beaver St, New York Ny",Full-Time,"$74,781.00 – $85,998.00",Constituent Services & Community Programs,Experienced (Non-Manager),Exam May Be Required,647932,1
PROGRAM ADMINISTRATOR,https://cityjobs.nyc.gov/job/program-administrator-in-manhattan-jid-26017,2024-09-05,2025-10-27,DEPT. OF HOMELESS SERVICES,Managerial,MANHATTAN,"33 Beaver St, New York Ny",Full-Time,"$81,083.00 – $140,000.00",Communications & Intergovernmental Affairs,Manager,Exam May Be Required,656953,1
RESOURCE SPECIALIST,https://cityjobs.nyc.gov/job/resource-specialist-in-brooklyn-jid-25469,2024-08-14,2025-10-27,DEPT. OF HOMELESS SERVICES,Adult Services,BROOKLYN,"681 Clarkson Ave Bldg D, Bklyn",Full-Time,"$60,889.00 – $70,022.00",Communications & Intergovernmental Affairs,Experienced (Non-Manager),No Exam Required,646423,2
FAMILY WORKER,https://cityjobs.nyc.gov/job/family-worker-in-bronx-jid-25848,2024-08-27,2025-10-27,DEPT. OF HOMELESS SERVICES,Family Services,BRONX,151 East 151st Street,Full-Time,"$57,490.00 – $66,114.00",Social Services,Experienced (Non-Manager),Exam May Be Required,647908,2
COMMUNITY ASSISTANT,https://cityjobs.nyc.gov/job/community-assistant-in-manhattan-jid-25059,2024-07-26,2025-10-27,DEPT. OF HOMELESS SERVICES,Adult Services,MANHATTAN,"430 East 30 Street, New York N",Full-Time,"$38,712.00 – $42,092.00",Social Services,Entry-Level,No Exam Required,643831,1
PROJECT MANAGER,https://cityjobs.nyc.gov/job/project-manager-in-brooklyn-jid-26725,2024-10-04,2025-10-27,DEPT. OF HOMELESS SERVICES,"Facilities, Maint And Repair",BROOKLYN,"101-07 Farragut Road, Brooklyn",Full-Time,"$76,262.00 – $87,701.00",Social Services,Manager,Exam May Be Required,647696,1
Goods & Services Procurement Section Unit Lead,https://cityjobs.nyc.gov/job/goods-and-services-procurement-section-unit-lead-in-nyc-all-boros-jid-12147,2023-08-21,2025-10-27,DEPT OF ENVIRONMENT PROTECTION,BWT - PROCUREMENT,NYC-ALL BOROS,96-05 Horace Harding Expway,Full-Time,"$65,232.00 – $151,810.00","Finance, Accounting, & Procurement",Experienced (Non-Manager),Exam May Be Required,582767,1
JCC MANAGER,https://cityjobs.nyc.gov/job/jcc-manager-in-manhattan-jid-19193,2024-01-06,2025-10-27,DEPT. OF HOMELESS SERVICES,Street Homelessness Solutions,MANHATTAN,"260 Eleventh Ave., N.Y.",Full-Time,"$64,749.00 – $69,826.00",Constituent Services & Community Programs,Experienced (Non-Manager),Exam May Be Required,622069,1
Procurement Analyst,https://cityjobs.nyc.gov/job/procurement-analyst-in-nyc-all-boros-jid-9682,2023-08-21,2025-10-27,DEPT OF ENVIRONMENT PROTECTION,BWS - BUREAU ADMINISTRATION,NYC-ALL BOROS,96-05 Horace Harding Expway,Full-Time,"$50,972.00 – $82,730.00","Finance, Accounting, & Procurement",Entry-Level,Exam May Be Required,596319,4
CASEWORKER,https://cityjobs.nyc.gov/job/caseworker-in-manhattan-jid-24649,2024-07-10,2025-10-27,DEPT. OF HOMELESS SERVICES,Adult Services,MANHATTAN,"430 East 30 Street, New York N",Full-Time,"$46,689.00 – $53,692.00",Constituent Services & Community Programs,Experienced (Non-Manager),Exam May Be Required,640681,1
COMMUNITY ASSISTANT,https://cityjobs.nyc.gov/job/community-assistant-in-brooklyn-jid-24820,2024-07-17,2025-10-27,DEPT. OF HOMELESS SERVICES,Adult Services,BROOKLYN,"39 Auburn Pl, Brooklyn",Full-Time,"$37,584.00 – $46,104.00",Constituent Services & Community Programs,Entry-Level,No Exam Required,642350,1
SHELTER DIRECTOR,https://cityjobs.nyc.gov/job/shelter-director-in-manhattan-jid-24037,2024-06-13,2025-10-27,DEPT. OF HOMELESS SERVICES,Managerial,MANHATTAN,"430 East 30 Street, New York N",Full-Time,"$73,068.00 – $125,000.00",Administration & Human Resources,Manager,Exam May Be Required,638274,1
INTAKE WORKER,https://cityjobs.nyc.gov/job/intake-worker-in-brooklyn-jid-24429,2024-06-28,2025-10-27,DEPT. OF HOMELESS SERVICES,Adult Services,BROOKLYN,"1322 Bedford Avenue, Bklyn.",Full-Time,"$41,887.00 – $49,615.00",Constituent Services & Community Programs,Experienced (Non-Manager),No Exam Required,639576,1
ADMINISTRATIVE ASSISTANT,https://cityjobs.nyc.gov/job/administrative-assistant-in-manhattan-jid-24958,2024-07-23,2025-10-27,DEPT. OF HOMELESS SERVICES,Housing Emergency Ref Op,MANHATTAN,"33 Beaver St, New York Ny",Full-Time,"$39,763.00 – $64,420.00",Administration & Human Resources,Entry-Level,Exam May Be Required,643115,1
PROGRAM ANALYST,https://cityjobs.nyc.gov/job/program-analyst-in-manhattan-jid-24681,2024-07-11,2025-10-27,DEPT. OF HOMELESS SERVICES,Adult Services,MANHATTAN,"33 Beaver St, New York Ny",Full-Time,"$77,158.00 – $88,732.00",Constituent Services & Community Programs,Experienced (Non-Manager),Exam May Be Required,640771,1
COMMUNITY ASSOCIATE,https://cityjobs.nyc.gov/job/community-associate-in-bronx-jid-24701,2024-07-11,2025-10-27,DEPT. OF HOMELESS SERVICES,Family Services,BRONX,151 East 151st Street,Full-Time,"$43,143.00 – $49,615.00",Constituent Services & Community Programs,Experienced (Non-Manager),No Exam Required,640748,2
COMMUNITY ASSISTANT,https://cityjobs.nyc.gov/job/community-assistant-in-brooklyn-jid-23396,2024-05-18,2025-10-27,DEPT. OF HOMELESS SERVICES,Administrative Services,BROOKLYN,"101-07 Farragut Road, Brooklyn",Full-Time,"$37,584.00 – $46,104.00",Building Operations & Maintenance,Entry-Level,No Exam Required,636372,1
CASEWORKER,https://cityjobs.nyc.gov/job/caseworker-in-brooklyn-jid-23316,2024-05-16,2025-10-27,DEPT. OF HOMELESS SERVICES,Adult Services,BROOKLYN,"681 Clarkson Ave Bldg D, Bklyn",Full-Time,"$45,329.00 – $77,633.00",Constituent Services & Community Programs,Experienced (Non-Manager),Exam May Be Required,636013,1
COMMUNITY ASSISTANT,https://cityjobs.nyc.gov/job/community-assistant-in-brooklyn-jid-25358,2024-08-09,2025-10-27,DEPT. OF HOMELESS SERVICES,Adult Services,BROOKLYN,"681 Clarkson Ave Bldg D, Bklyn",Full-Time,"$37,584.00 – $46,104.00",Social Services,Entry-Level,No Exam Required,637890,1
SUPERVISOR 1,https://cityjobs.nyc.gov/job/supervisor-1-in-bronx-jid-23558,2024-05-24,2025-10-27,DEPT. OF HOMELESS SERVICES,Family Services,BRONX,151 East 151st Street,Full-Time,"$55,946.00 – $89,698.00",Constituent Services & Community Programs,Experienced (Non-Manager),Exam May Be Required,636852,2
COMMUNITY ASSISTANT,https://cityjobs.nyc.gov/job/community-assistant-in-bronx-jid-22781,2024-04-27,2025-10-27,DEPT. OF HOMELESS SERVICES,Family Services,BRONX,151 East 151st Street,Full-Time,"$37,584.00 – $46,104.00",Administration & Human Resources,Entry-Level,No Exam Required,634547,1
PROGRAM ANALYST,https://cityjobs.nyc.gov/job/program-analyst-in-manhattan-jid-23670,2024-05-30,2025-10-27,DEPT. OF HOMELESS SERVICES,Family Services,MANHATTAN,"33 Beaver St, New York Ny",Full-Time,"$92,283.00 – $124,080.00",Constituent Services & Community Programs,Experienced (Non-Manager),Exam May Be Required,636950,5
Electrician,https://cityjobs.nyc.gov/job/electrician-in-queens-jid-9575,2023-08-21,2025-10-27,DEPT OF ENVIRONMENT PROTECTION,Universal Metering Inspection,QUEENS,96-05 Horace Harding Expway,Full-Time,$440.16 – $440.16,"Technology, Data & Innovation",Experienced (Non-Manager),Exam May Be Required,596565,1
Molecular Biologist,https://cityjobs.nyc.gov/job/molecular-biologist-in-nyc-all-boros-jid-12193,2023-08-21,2025-10-27,DEPT OF ENVIRONMENT PROTECTION,NEWTOWN CREEK MICROBIOLOGY LAB,NYC-ALL BOROS,"329 Greenpoint Ave., Brooklyn",Full-Time,"$63,962.00 – $89,003.00","Policy, Research & Analysis",Experienced (Non-Manager),Exam May Be Required,581749,2
Assistant Chemical Engineer,https://cityjobs.nyc.gov/job/assistant-chemical-engineer-in-nyc-all-boros-jid-10702,2023-08-21,2025-10-27,DEPT OF ENVIRONMENT PROTECTION,PROCESS SUPPORT & COMPLIANCE,NYC-ALL BOROS,96-05 Horace Harding Expway,Full-Time,"$62,370.00 – $93,587.00","Technology, Data & Innovation",Entry-Level,Exam May Be Required,598059,7
CHIEF MARINE ENGINEER (DIESEL),https://cityjobs.nyc.gov/job/chief-marine-engineer-diesel-in-manhattan-jid-16036,2023-10-07,2025-10-27,DEPT OF ENVIRONMENT PROTECTION,Marine Section,MANHATTAN,"Wards Island, N.Y.",Full-Time,"$87,792.00 – $87,792.00",Building Operations & Maintenance,Experienced (Non-Manager),Exam May Be Required,598782,2
Executive Assistant,https://cityjobs.nyc.gov/job/executive-assistant-in-manhattan-jid-33394,2025-05-23,,MAYORS OFFICE OF CONTRACT SVCS,Office Of The Director,MANHATTAN,255 Greenwich Street,Full-Time,"$65,000.00 – $65,000.00",Administration & Human Resources,Experienced (Non-Manager),No Exam Required,715239,1
Program Coordinator,https://cityjobs.nyc.gov/job/program-coordinator-in-brooklyn-jid-36851,2025-09-27,,TECHNOLOGY & INNOVATION,Human Resources,BROOKLYN,15 Metrotech,Full-Time,"$62,868.00 – $62,868.00",Administration & Human Resources,Experienced (Non-Manager),No Exam Required,740123,1
ANALYST,https://cityjobs.nyc.gov/job/analyst-in-manhattan-jid-36186,2025-09-05,2025-11-03,DEPT. OF HOMELESS SERVICES,Street Homelessness Solutions,MANHATTAN,"260 Eleventh Ave., N.Y.",Full-Time,"$60,549.00 – $69,631.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,732756,1
Compliance and Audits Manager,https://cityjobs.nyc.gov/job/compliance-and-audits-manager-in-manhattan-jid-33917,2025-06-12,,DEPARTMENT OF SANITATION,Division Of Commercial Waste,MANHATTAN,375 Pearl Street,Full-Time,"$75,370.00 – $114,000.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,716759,1
DESIGN LEAD ARCHITECTURAL,https://cityjobs.nyc.gov/job/design-lead-architectural-in-queens-jid-11002,2023-08-21,2025-10-27,DEPT OF ENVIRONMENT PROTECTION,ARCHITECTURAL DESIGN,QUEENS,96-05 Horace Harding Expway,Full-Time,"$90,114.00 – $122,168.00","Engineering, Architecture, & Planning",Experienced (Non-Manager),Exam May Be Required,579947,1
CIVIL ENGINEER II,https://cityjobs.nyc.gov/job/civil-engineer-ii-in-nyc-all-boros-jid-12591,2023-08-21,2025-10-27,DEPT OF ENVIRONMENT PROTECTION,COLLECTIONS ENGINEERING,NYC-ALL BOROS,96-05 Horace Harding Expway,Full-Time,"$80,557.00 – $111,917.00","Engineering, Architecture, & Planning",Experienced (Non-Manager),Exam May Be Required,564037,1
BIM DESIGNER,https://cityjobs.nyc.gov/job/bim-designer-in-queens-jid-12666,2023-08-21,2025-10-27,DEPT OF ENVIRONMENT PROTECTION,UPSTATE CAPITAL CONSTR. - IFA,QUEENS,"465 Columbus Ave. Valhalla, Ny",Full-Time,"$76,627.00 – $119,610.00","Engineering, Architecture, & Planning",Experienced (Non-Manager),Exam May Be Required,559174,1
College Aide,https://cityjobs.nyc.gov/job/college-aide-in-manhattan-jid-36355,2025-09-11,2025-12-10,DEPARTMENT OF INVESTIGATION,Various Units,MANHATTAN,180 Maiden Lane,Full-Time,$17.00 – $21.40,"Public Safety, Inspections, & Enforcement",Student,No Exam Required,735132,6
Office Associate,https://cityjobs.nyc.gov/job/office-associate-in-nyc-all-boros-jid-34310,2025-06-27,2026-06-25,DEPT OF HEALTH/MENTAL HYGIENE,Child Care,NYC-ALL BOROS,"125 Worth Street, Nyc",Full-Time,"$38,173.00 – $43,899.00",Health,Experienced (Non-Manager),Exam May Be Required,717652,1
ATTORNEY INTERNE,https://cityjobs.nyc.gov/job/attorney-interne-in-manhattan-jid-28413,2024-12-12,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Office Of Legal Affairs-NM,MANHATTAN,4 World Trade Center,Full-Time,"$70,228.00 – $80,763.00",Communications & Intergovernmental Affairs,Entry-Level,No Exam Required,692464,1
AGENCY ATTORNEY INTERNE,https://cityjobs.nyc.gov/job/agency-attorney-interne-in-manhattan-jid-28390,2024-12-11,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Office Of Legal Affairs-NM,MANHATTAN,4 World Trade Center,Full-Time,"$70,228.00 – $80,763.00",Communications & Intergovernmental Affairs,Experienced (Non-Manager),No Exam Required,692783,1
"DIRECTOR, TRADE SHOP",https://cityjobs.nyc.gov/job/director-trade-shop-in-manhattan-jid-28296,2024-12-07,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,General Support Services-MGR,MANHATTAN,375 Pearl Street,Full-Time,"$107,502.00 – $157,468.00",Building Operations & Maintenance,Manager,Exam May Be Required,691609,1
SENIOR FISCAL AUDITOR/ SPECIAL PROJECT ANALYST,https://cityjobs.nyc.gov/job/senior-fiscal-auditor-special-project-analyst-in-manhattan-jid-27989,2024-11-23,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Fiscal Operations-NM,MANHATTAN,4 World Trade Center,Full-Time,"$64,137.00 – $73,758.00","Finance, Accounting, & Procurement",Experienced (Non-Manager),Exam May Be Required,689839,1
QUALITY ASSURANCE ANALYST,https://cityjobs.nyc.gov/job/quality-assurance-analyst-in-manhattan-jid-27995,2024-11-23,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Fiscal Operations-NM,MANHATTAN,4 World Trade Center,Full-Time,"$64,137.00 – $73,758.00","Finance, Accounting, & Procurement",Experienced (Non-Manager),Exam May Be Required,689821,1
VPS CARE COORDINATOR,https://cityjobs.nyc.gov/job/vps-care-coordinator-in-manhattan-jid-27885,2024-11-20,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Customized Assist Svc-NM,MANHATTAN,"33 Beaver St, New York Ny",Full-Time,"$84,981.00 – $106,654.00",Mental Health,Experienced (Non-Manager),No Exam Required,689267,1
"ASSISTANT DIRECT, EFNAP",https://cityjobs.nyc.gov/job/assistant-direct-efnap-in-manhattan-jid-27573,2024-11-06,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Domestic Violence-NM,MANHATTAN,4 World Trade Center,Full-Time,"$66,067.00 – $89,738.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,687192,1
Clearance Administrator,https://cityjobs.nyc.gov/job/clearance-administrator-in-nyc-all-boros-jid-35524,2025-08-12,2026-08-08,DEPT OF HEALTH/MENTAL HYGIENE,Child Care,NYC-ALL BOROS,"125 Worth Street, Nyc",Full-Time,"$48,206.00 – $55,437.00",Health,Experienced (Non-Manager),Exam May Be Required,724911,1
PROCESS ANALYST,https://cityjobs.nyc.gov/job/process-analyst-in-manhattan-jid-27512,2024-11-02,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Off Of Child Enforc-NM,MANHATTAN,4 World Trade Center,Full-Time,"$80,856.00 – $90,049.00",Constituent Services & Community Programs,Experienced (Non-Manager),Exam May Be Required,686979,2
CLAIMING ASSOCIATE,https://cityjobs.nyc.gov/job/claiming-associate-in-manhattan-jid-28458,2024-12-13,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Fiscal Operations-NM,MANHATTAN,4 World Trade Center,Full-Time,"$57,750.00 – $70,490.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,693194,1
REVENUE ASSOCIATE,https://cityjobs.nyc.gov/job/revenue-associate-in-manhattan-jid-28478,2024-12-13,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Fiscal Operations-NM,MANHATTAN,4 World Trade Center,Full-Time,"$51,796.00 – $70,704.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,693181,2
QUALITY ASSURANCE UNIT SUPERVISOR,https://cityjobs.nyc.gov/job/quality-assurance-unit-supervisor-in-manhattan-jid-27980,2024-11-23,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Fiscal Operations-NM,MANHATTAN,4 World Trade Center,Full-Time,"$79,473.00 – $91,394.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,689769,1
ASSISTANT DIRECTOR OF HUMAN SERVICES UNIT,https://cityjobs.nyc.gov/job/assistant-director-of-human-services-unit-in-manhattan-jid-27981,2024-11-23,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Fiscal Operations-NM,MANHATTAN,4 World Trade Center,Full-Time,"$79,473.00 – $91,394.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,689714,1
LEGAL ASSISTANCE HOUSING COURT LIAISON,https://cityjobs.nyc.gov/job/legal-assistance-housing-court-liaison-in-manhattan-jid-27851,2024-11-19,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Office Of Legal Affairs-NM,MANHATTAN,4 World Trade Center,Full-Time,"$57,976.00 – $66,672.00",Legal Affairs,Experienced (Non-Manager),Exam May Be Required,689049,1
